,epoch,loss,iou
0,0,0.46297822454396415,0.6533368485707369
1,1,0.33428706257951024,0.8786416464518906
2,2,0.3042541818291533,0.8932034275276017
3,3,0.2859124728277618,0.9009081144447777
4,4,0.2716319113969803,0.9052333593600453
5,5,0.25781287574300576,0.9080410007401013
6,6,0.2456855405779446,0.9101605735047341
7,7,0.23808702388230493,0.9116983675695308
8,8,0.23037463338936076,0.9112168467873087
9,9,0.22130253531184851,0.9146474446255569
10,10,0.21082440427705354,0.9175696843478794
11,11,0.20355823986670551,0.9171307023410926
12,12,0.19642400595487333,0.9197033366728342
13,13,0.18905269836678223,0.921697126921067
14,14,0.18507570408138574,0.9221940470038135
15,15,0.17921362437453925,0.9239120262977008
16,16,0.175035135418761,0.9247827735737306
17,17,0.16980221458509856,0.9248348571339772
18,18,0.1579791646377713,0.9319526371195965
19,19,0.16290484222711302,0.929812726336917
