,epoch,loss,iou
0,0,0.21696534703540452,0.6579422242782652
1,1,-0.06858139028590099,0.8288188038245207
2,2,-0.1801810720387627,0.8475554679227063
3,3,-0.26281626756284754,0.8566047342705582
4,4,-0.3448668169040306,0.8642747239926072
5,5,-0.4437122835832484,0.8735147404278762
6,6,-0.5489394734887516,0.8824303278441604
7,7,-0.660253292205287,0.8927935202872677
8,8,-0.7693016084970212,0.9011264889081093
9,9,-0.8775108725416894,0.9092148029076611
10,10,-0.9867713357888016,0.9166222604177096
11,11,-1.0942050148459042,0.9141446644773021
12,12,-1.1950368203368842,0.9252851830959421
13,13,-1.3197825936710132,0.9338219390285081
14,14,-1.433649780703526,0.940492183020723
15,15,-1.5340443148332483,0.9420462825651011
16,16,-1.6479808793348425,0.9474376896456062
17,17,-1.7626882744770425,0.9529395552575687
18,18,-1.8809410497254015,0.9578122544360781
19,19,-1.9842790224972893,0.9581526904334935
