,epoch,loss,iou
0,0,-47.52521312938017,0.25787616243556505
1,1,-85.38457713407628,0.19208114287440203
2,2,-101.699556388107,0.18765502350010865
3,3,-112.72136104808135,0.18477162660344743
4,4,-127.03158285103592,0.17819729038321155
5,5,-140.35358952540977,0.17682978686172254
6,6,-155.7517116771025,0.1717047364104818
7,7,-173.14994841930914,0.16747468125594359
8,8,-182.9765125349456,0.171325632170214
9,9,-201.4048988491881,0.16748591497840598
